Id;Tweet;Categoria;Columna1;Fecha;Usuario;Ironia;Reclasificar;Twitero
1791;"@HctorEstanisla1 ES EL MOMENTO DE APOYAR LA VIDA  Y A NUESTRO PRESIDENTE ALBERTO FERNÁNDEZ 
VAMOS TODOS POR UNA ARGENTINA CON TODA SU POBLACIÓN VACUNADA 
NO ES TIEMPO DE HACER POLÍTICA PRIMERO LA VIDA QUERIDO PRESIDENTE EL PAIS ESTA CON USTED ????";Positivo;;6/24/2021;RAMON ENRIQUE;NO;Reclasificar;
573;@hernan_mazza @licvictohidalgo Y a los q quedaban sin laburo durante gobierno cambiemos Reconvertirse. Abrir cervecería y manejar drón!!! Las cosas como son! Sin pandemia ni Ministerio de salud dejaron al gobierno de Alberto Fernández!!!;Positivo;;6/22/2021;Rita;NO;Reclasificar;
894;@JuanManzurOK @alferdez Gracias Alberto Fernández por apoyar a la provincia ????;Positivo;;6/23/2021;SANTIAGO CARRERAS;NO;Reclasificar;
1502;@LANACION Hay segunda dosis, de echo llegaron 500 mil y mañana arranca otro avión rumbo a Rusia. Más allá del viaje le agradezco al señor Presidente Alberto Fernández por fabricarla....La Nación es Macri, Miente;Positivo;;6/23/2021;carlos badaracco;NO;Reclasificar;
562;@LeoAnzalone #ElVirusSonEllos Hay Buen Gobierno del Presidente Alberto Fernández Junto a su Vice Presidenta Cristina Fernandez, Usa la Diplomacia para Negociar la Deuda Externa Heredada, Buena Noticia Evitar el Default, es Interés, Sigamos Juntos Unidos con Fe y Oración, hasta Marzo 2022!!!;Positivo;;6/22/2021;Carlos Granera;NO;Reclasificar;
1045;@Luis_Delia @LongobardiM Los votantes del Frente de Todos , esperamos que Alberto Fernández indulte a todos los presos políticos !!;Positivo;;6/22/2021;Hugo Lopez;NO;Reclasificar;
1626;"@MARAMonotributo @alferdez Señor presidente Alberto Fernández no hay objeción que los monotributistas reciban el subsidio todo este tiempo de pandemia de una u otra manera seguimos aportando al estado; del cual no hemos sido contemplados en su mayoria";Positivo;;6/22/2021;delideli21;NO;Reclasificar;
1648;@rominamanguel @Facundo_Moyano @A24COM En el Gobierno de Alberto Fernández, las mujeres ocupan el 37,5 por ciento de los puestos más altos del gobierno nacional. En la gestión anterior representaban el 23,1 por ciento.;Positivo;;6/23/2021;Daniel Alvarez;NO;Reclasificar;
1715;[#ENTREVISTA] Diego Palmieri en @FMLaPatriada: Para nosotros es importante que tanto Alberto Fernández como Cristina Kirchner acompañen este proceso;Positivo;;6/23/2021;Tengo lo tuyo;NO;Reclasificar;
1509;“La evidencia científica demuestra que con una dosis se reducen los contagios, las internaciones y la letalidad”, destacó el gobierno de Alberto Fernández en Twitter, que subrayó: “Prevenir la difusión de información errónea y falsa es responsabilidad de todas y todos”.;Positivo;;6/23/2021;Rosa Rubino;NO;Reclasificar;
827;“Nos vamos a poner de pie porque vamos a vencer a la pandemia todos unidos, Alberto Fernández https://t.co/CRr58Of16K;Positivo;;6/24/2021;norteweb Salta;NO;Reclasificar;
2;2da DOSIS!!! Mano de OK Pulgares hacia arriba Signo de manos aplaudiendo Gracias @alferdez @CFKArgentina @Kicillofok @nico_mantegazza;Positivo;;6/16/2021;@danieldisaba;NO;Reclasificar;
1139;"Agencia El Vigía, [23 de jun de 2021 a las 16:42]
Alberto Fernández @alferdezok: Acusan de envenenador al que consigue las vacunas, y cuando las consigue, le reclaman la segunda dosis de veneno. En ese país vivimos y dicen que no tienen libertad https://t.co/h9g5ULMKxF";Positivo;;6/23/2021;Yo,Loba;NO;Reclasificar;
1896;Agradecemos y le damos un re felicitado a nuestro sr. Presidente dr. Fernandez alberto y un gracias enorme a su exelencia por el plan automotor permitiéndonos  a aquellos que ganamos poco tener la posibilidad a de la financiación acceder al 0km es mi primer coche y gracias;Positivo;;6/22/2021;Miguel Angel;NO;Reclasificar;
995;AHORA | Estamos comunicados  con Carlos Azoge, del Colegio de Profesionales de la enfermería de Santa Fe, para hablar de que Alberto Fernández anunció proyecto de ley para jerarquizar la profesión. Escuchanos por @CadenaOh https://t.co/OBHZa0yLsO;Positivo;;6/22/2021;Al atardecer;NO;Reclasificar;
832;Alberto @alferdez tenés toda la razón! a todos los terroristas acusadores macri-bullrich-vidal-carrio-zuvic-peña- wolff-iglesias y a los coimeros golpistas juicios y embargos x hijos de puta antivacunas!???? https://t.co/XhOIzol15n;Positivo;;6/23/2021;Tito Sosa;NO;Reclasificar;
1394;Alberto Fernández (@alferdez): Estamos trabajando para aumentar la velocidad de la vacunación porque la vacuna es la que nos abre la puerta hacia el futuro https://t.co/xFPOZOKEaL;Positivo;;6/23/2021;Pablo Rey.. el flaco ?????;NO;Reclasificar;
1154;Alberto Fernández , por favor, dedicate a gobernar para todos los argentinos. Para eso estás donde estás. No desaproveches la oportunidad de hacer algo bien. Fuerza Presidente.;Positivo;;6/24/2021;Lady Ana;NO;Reclasificar;
1679;Alberto Fernández @alferdez: Acusan de envenenador al que consigue las vacunas, y cuando las consigue, le reclaman la segunda dosis de veneno. En ese país vivimos y dicen que no tienen libertad https://t.co/iRBU1MrniK;Positivo;;6/23/2021;elpresidentemiente;NO;Reclasificar;
812;Alberto Fernández @alferdez: Todos esperaban que caigamos en default. Estamos saliendo de la pandemia, pero todavía no logramos salir del todo de la tragedia que significaron los 4 años que nos precedieron en la gestión https://t.co/3AHEOHdZgq;Positivo;;6/23/2021;Agencia El Vigía;NO;Reclasificar;
1713;Alberto Fernández “Nos vamos a poner de pie porque vamos a vencer a la pandemia todos unidos” https://t.co/beg4u8VbaC;Positivo;;6/23/2021;Panorama Directo;NO;Reclasificar;
1147;Alberto Fernández “Nos vamos a poner de pie porque vamos a vencer a la pandemia todos unidos” https://t.co/cSoGpw9znY;Positivo;;6/23/2021;Charlie Martinez;NO;Reclasificar;
948;Alberto Fernández anuncia hoy un Plan Ganadero y un nuevo esquema exportador de carne vacuna: El Gobierno tiene como objetivo aumentar la producción a unas 5 millones de toneladas anuales y asegurar el suministro a nivel doméstico. Será a las 12.30. https://t.co/v8OeBODiaB https://t.co/DxEXBB9nwl;Positivo;;6/22/2021;OSCAR A. CANAVESE;NO;Reclasificar;
1281;Alberto Fernández anuncia la puesta en marcha de un programa de viviendas para mayores de 60 | Se trata de 100 complejos habitacionales https://t.co/ptQrh8D8oj;Positivo;;6/24/2021;Om Radio;NO;Reclasificar;
917;Alberto Fernández anuncia la puesta en marcha de un programa de viviendas para mayores de 60 https://t.co/IULTrebiZr;Positivo;;6/24/2021;La mentira tiene patas cortas.;NO;Reclasificar;
1707;Alberto Fernández asistió al Congreso de los Bancarios y abogó por salarios que le ganen a la inflación | Vía País https://t.co/kGP68eV1I6;Positivo;;6/23/2021;Vía País;NO;Reclasificar;
741;"Alberto Fernández contra la oposición: “Ahora nos reclaman la segunda dosis del veneno” En un acto realizado en La Bancaria, @alferdez cruzó a los referentes opositores que cuestionaron las gestiones del Gobierno para adquirir vacunas.
https://t.co/SDQcHGo26i";Positivo;;6/23/2021;elDiarioAR;NO;Reclasificar;
940;Alberto Fernández en el Congreso Bancario: “Tenemos un plan que es cuidar a los argentinos y tenemos un proyecto que es que vuelva el trabajo” - https://t.co/kMRy6kGsk4;Positivo;;6/23/2021;AGN Prensa;NO;Reclasificar;
1603;Alberto Fernández encabeza un encuentro con representantes de las entidades rurales y cámaras de industriales y exportadores de la carne, junto a quienes analiza un plan ganadero para aumentar la producción y las exportaciones y asegurar el suministro al mercado interno.;Positivo;;6/22/2021;Radio Nacional LT12 Paso de los Libres;NO;Reclasificar;
1705;Alberto Fernández le cantó las 40 a la oposición: Los que hablan en la TV son los que destruyeron todo - Revolución Popular https://t.co/9wFDaPKvWA;Positivo;;6/24/2021;Yo,Loba;NO;Reclasificar;
876;Alberto Fernández le cantó las 40 a la oposición: Los que hablan en la TV son los que destruyeron todo https://t.co/ySGHvm7kjk;Positivo;;6/24/2021;@SoniaAEscobar ??;NO;Reclasificar;
658;"Alberto Fernández le hizo un guiño a la pauta salarial del 45%: “Lo que más me importa es que el sueldo de los trabajadores le gane a la inflación”
Los detalles ??https://t.co/vIqsAeIsPz https://t.co/L54wrj5TQc";Positivo;;6/23/2021;Data Gremial;NO;Reclasificar;
704;Alberto Fernández llegó a decir que la sentencia del alto tribunal era un ejemplo de la “decrepitud del derecho”. La vicepresidenta hizo mención a una forma solapada de “golpe” institucional.;Positivo;;6/22/2021;Santiago Alzaria;NO;Reclasificar;
1574;"Alberto Fernández presentará este jueves el programa Casa Propia-Casa Activa, la primera política pública de hábitat integral y vivienda colaborativa para personas mayores de 60 años
https://t.co/voIwd6NGof";Positivo;;6/24/2021;Infonews;NO;Reclasificar;
1222;"Alberto Fernández: 
Voy hacer todo lo que esté a mi alcance para terminar con los abismos que nos separan

TIRANDO PALOS A LA OPOSICIÓN ÉL Y SU EQUIPO OBVIO Y COMO SIEMPRE..... https://t.co/H1dVa8wCJd";Positivo;;6/22/2021;Silvia Marquez;NO;Reclasificar;
1165;Alberto Fernández: “Nos preocupa que trabajadores y trabajadoras tengan más derechos y que los sueldos no se retrasen y le ganen a la inflación” https://t.co/RooHTvbZog;Positivo;;6/23/2021;Lorna Irina Gemetto;NO;Reclasificar;
1790;"Alberto Fernández: “Nos vamos a poner de pie porque vamos a vencer a la pandemia todos unidos

#OposicionFake
 https://t.co/0eeMDlVZet";Positivo;;6/23/2021;jess;NO;Reclasificar;
980;"Alberto Fernández: “Nos vamos a poner de pie porque vamos a vencer a la pandemia todos unidos&amp;quot; https://t.co/MmcCqDNJAa";Positivo;;6/23/2021;LA VOZ Digital Fsa;NO;Reclasificar;
730;Alberto Fernández: “Nos vamos a poner de pie porque vamos a vencer a la pandemia todos unidos” https://t.co/0MWdNfbr6c;Positivo;;6/23/2021;Barranqueras Online;NO;Reclasificar;
1450;Alberto Fernández: “Nos vamos a poner de pie porque vamos a vencer a la pandemia todos unidos” https://t.co/C030Fp7Uo3;Positivo;;6/24/2021;CLASSIQUE 106.5;NO;Reclasificar;
1555;Alberto Fernández: “Nos vamos a poner de pie porque vamos a vencer a la pandemia todos unidos” https://t.co/cJxjucFmfK;Positivo;;6/23/2021;InfoNQN;NO;Reclasificar;
861;Alberto Fernández: “Nos vamos a poner de pie porque vamos a vencer a la pandemia todos unidos” https://t.co/SALIhMcEBD;Positivo;;6/24/2021;noticiasplatenses;NO;Reclasificar;
1895;Alberto Fernández: “Nos vamos a poner de pie porque vamos a vencer a la pandemia todos unidos” https://t.co/vAAKkuWjob;Positivo;;6/24/2021;CLASSIQUE 106.5;NO;Reclasificar;
1523;Alberto Fernández: “Nos vamos a poner de pie porque vamos a vencer a la pandemia todos unidos: El Presidente participó de la apertura del 48º Congreso Nacional Bancario. Allí adelantó que en los próximos días se va a acelerar la velocidad de la… https://t.co/F6wfyPZdIf https://t.co/jH071okuvh;Positivo;;6/23/2021;RADIO POPULAR SAN LUIS;NO;Reclasificar;
1865;"Alberto Fernández: lo que más me importa es que el salario de los trabajadores no se retrase

El salario de los trabajadores: https://t.co/OLtcZHiJ0n";Positivo;;6/24/2021;Facundo Lahitte;NO;Reclasificar;
1892;Alcira Figueroa volvió a justificar la irrupción de militantes kirchneristas en el homenaje a Güemes y tildó de antivacunas a quienes critican a Alberto Fernández https://t.co/1cZ4u3nBTN;Positivo;;6/23/2021;Salta4400;NO;Reclasificar;
1608;"Apoyo total al Presidente Alberto Fernández...
#OposicionFake https://t.co/goMfR2fki9";Positivo;;6/24/2021;meli peralta quinter;NO;Reclasificar;
338;"Argentina ha obtenido un balón de oxígeno para su apretada agenda de pagos externos. Tras meses de negociaciones, el gobierno de Alberto Fernández ha obtenido “un puente de tiempo” con el Club de París que le evitará caer en 'default' 

?? @frivasmolina https://t.co/uoZiV08g7j";Positivo;;6/22/2021;EL PAÍS América;NO;Reclasificar;
1232;"CARNE
El Gobierno anuncia un plan ganadero y restablece exportaciones Consumo protegido para abrir la exportación
Alberto Fernández participará del anuncio del acuerdo con exportadores y frigoríficos para abastecer el mercado interno con una decena de cortes a precios accesibles+";Positivo;;6/22/2021;Nora Schvartz;NO;Reclasificar;
1491;Carne: Alberto Fernández anuncia acuerdo para exportar más y reservar cortes para el consumo interno https://t.co/LHbJ5yL9P6;Positivo;;6/22/2021;Candelariaonline;NO;Reclasificar;
1181;"Con restricciones, el Gobierno reabrió las exportaciones de carne y Alberto Fernández le prometió al campo mayor apertura si bajan los precios

https://t.co/XtHgjwJyH4";Positivo;;6/22/2021;LOS ANDES;NO;Reclasificar;
723;El daño que hizo a los argentinos fue incalculable: Alberto Fernández sobre gestión de Macri | La iguana TV ?? https://t.co/61uMiDMjVW;Positivo;;6/23/2021;La iguana TV;NO;Reclasificar;
814;El daño que hizo a los argentinos fue incalculable: Alberto Fernández sobre gestión de Macri | La iguana TV ?? https://t.co/CjNLjdES0A;Positivo;;6/23/2021;LaIguanaTV;NO;Reclasificar;
1384;El Gobierno reabre las exportaciones de carne pero quedarán 7 cortes para el mercado interno: El presidente Alberto Fernández encabezará hoy a las 12:30 en Casa Rosada los anuncios de reapertura de las exportaciones de carne y la presentación de un Plan… https://t.co/IxsxxkSyWn https://t.co/fZ4MMeSGpA;Positivo;;6/22/2021;OSCAR A. CANAVESE;NO;Reclasificar;
1191;El Gobierno tiene como objetivo aumentar la producción a unas 5 millones de toneladas anuales y asegurar el suministro a nivel doméstico. Será a las 12.30  https://t.co/unuheJCXTQ;Positivo;;6/22/2021;Diario Panorama;NO;Reclasificar;
1316;El mandatario inauguró el 48° Congreso Nacional Bancario. ”Tenemos un plan: cuidar a los argentinos. Un proyecto: que vuelva el trabajo. Una decisión: poner a la Argentina de pie” expresó el presidente -----» https://t.co/WN9ntsnQnb;Positivo;;6/23/2021;Diario San Francisco;NO;Reclasificar;
1805;"El ministro de Desarrollo Productivo, Matías Kulfas, anunció la reapertura gradual de las exportaciones y anticipó que esta tarde se publicará en el Boletín Oficial un decreto -firmado por el presidente Alberto Fernández- que limita la venta al exterior

https://t.co/rceExxL9EB";Positivo;;6/22/2021;Rural al Día;NO;Reclasificar;
566;El operativo de vacunación más grande de la historia avanza sin pausa. Nuestro intendente Martín Insaurralde, nuestro gobernador Axel Kicillof, y nuestro presidente Alberto Fernández trabajan las 24 horas para que nadie quede afuera. ???;Positivo;;6/22/2021;Secretaría de Políticas Públicas;NO;Reclasificar;
1301;"El plan que anunciará el presidente Alberto Fernández busca llevar de 3 a 5 millones de toneladas la producción anual de carne vacuna y reservar algunos cortes que deberán ser reservados exclusivamente para el mercado interno.

 https://t.co/7iWjmuXzs0";Positivo;;6/22/2021;P&E - Política y Economía;NO;Reclasificar;
1506;El presidente Alberto Fernández anunciará hoy un Plan Ganadero y un nuevo esquema para la exportación de carne vacuna, con el objetivo de aumentar la producción a unas 5 millones de toneladas anuales y asegurar el suministro a nivel doméstico.;Positivo;;6/22/2021;German Margheritti;NO;Reclasificar;
1622;El presidente Alberto Fernández anunciará hoy un Plan Ganadero y un nuevo esquema para la exportación de carne vacuna, con el objetivo de aumentar la producción a unas 5 millones de toneladas anuales y asegurar el suministro a nivel doméstico. https://t.co/plQyh61BGn;Positivo;;6/22/2021;Canal 12;NO;Reclasificar;
1531;El presidente Alberto Fernández anunciará un Plan Ganadero y un nuevo esquema para la exportación de carne vacuna, con el objetivo de aumentar la producción a unas cinco millones de toneladas anuales y asegurar el suministro a nivel doméstico.https://t.co/41G5U6HQ85;Positivo;;6/22/2021;Andres Peebles;NO;Reclasificar;
1020;"El presidente de #Argentina, Alberto Fernández, prometió este miércoles acelerar los tiempos de vacunación contra la #COVID-19 y aseguró que su principal preocupación está en que los salarios de los trabajadores le ganen a la inflación.
https://t.co/WyoId7ECGI";Positivo;;6/24/2021;Opinión Bolivia;NO;Reclasificar;
810;El segundo nombre de Alberto Fernández es Estado. Libertad!;Positivo;;6/23/2021;??ELONY;NO;Reclasificar;
744;"En la apertura del Congreso Nacional Bancario, @alferdez dio un discurso claro.
Como en su momento lo indicó @CFKArgentina : alinear salarios y jubilaciones con precios de alimentos y tarifas.

Proyecto, plan y decisión. Poner a la Argentina de pie.??????
https://t.co/JfpnNgumjg";Positivo;;6/23/2021;Valentina Acuña;NO;Reclasificar;
3;En la Provincia ya hay 5 MILLONES de bonaerenses vacunadas y vacunados, y acá en Alberti mañana llegaremos a las 6000 PRIMERAS DOSIS aplicadas. Somos #5MillonesDeSonrisas. Tenemos 5 millones de esperanzas. Falta poco para volver a abrazarnos!!!Gracias @alferdez @Kicillofok!!!;Positivo;;6/16/2021;@germanlago1;NO;Reclasificar;
1345;"Enfermeros/as de CABA ante el proyecto de ley presentado por Alberto Fernández: El verdadero incentivo para el desarrollo de la Enfermería es aumentar los salarios y el reconocimiento profesional y laboral en todo el país.+INFO y tel p/notas https://t.co/sT1BSSopJO 
@OdaCuentas https://t.co/jyKJsPNo9Z";Positivo;;6/22/2021;MARIAPRESS;NO;Reclasificar;
1279;"Este es mi Presidente!!!
Hartooooooo como estamos todos..
Vamos Alberto queremos este acá con el enemigo ni justicia 

Alberto Fernández le cantó las 40 a la oposición: Los que hablan en la TV son los que destruyeron todo https://t.co/PHhVc6hYnD";Positivo;;6/23/2021;Grace ?? ???;NO;Reclasificar;
975;"ESTE JUEVES
ALBERTO FERNÁNDEZ PRESENTARÁ UN PROGRAMA PARA QUE ADULTOS MAYORES PUEDAN ACCEDER A SU PROPIA CASA
https://t.co/DpotRDjeph";Positivo;;6/24/2021;Diario sanjuan8.com;NO;Reclasificar;
1708;"Este martes al mediodía el gobierno anunciará el lanzamiento de un nuevo Plan Ganadero, que tendrá como objetivo aumentar la producción de carne vacuna a unas 5 millones de toneladas anuales y asegurar el suministro a nivel doméstico ??

https://t.co/R3xav9lJvR";Positivo;;6/22/2021;IP Noticias;NO;Reclasificar;
1113;"Hace unos días el gerente del C.H #BenitoMenni, Ángel González y el  gerente de CyL de #Gruposifu Facility Services &amp; Management, Alberto Fernández, firmaron un acuerdo para favorecer la plena #InclusiónLaboral de las personas con #discapacidad ¡Seguimos avanzando! https://t.co/vPeJJy1lXe";Positivo;;6/22/2021;Benito Menni Valladolid;NO;Reclasificar;
1894;Hay que sostener al gobierno del Presidente Alberto Fernández a pesar de que no estemos felices con su administración. Lo importante es mantener las instituciones democráticas cueste lo que cueste, le pido a CFK que asuma interinamente. @eduardoaduhalde @RLavagna;Positivo;;6/24/2021;Sergio (CHECHO) Sabán;NO;Reclasificar;
1633;Hay que sostener al gobierno del Presidente Alberto Fernández a pesar de que no estemos felices con su administración. Lo importante es mantener las instituciones democráticas cueste lo que cueste, le pido a CFK que asuma interinamente. @inst_PATRIAar @SenadoArgentina;Positivo;;6/24/2021;Sergio (CHECHO) Sabán;NO;Reclasificar;
1666;Hay que sostener al gobierno del Presidente Alberto Fernández a pesar de que no estemos felices con su administración. Lo importante es mantener las instituciones democráticas cueste lo que cueste, le pido a CFK que asuma interinamente. @mauriciomacri @MiguelPichetto;Positivo;;6/24/2021;Sergio (CHECHO) Sabán;NO;Reclasificar;
958;La directora de Migraciones, Florencia Carignano, cruzó al exministro por su viaje a Europa y respaldó a Alberto Fernández por separarlo de su cargo. https://t.co/26BPNMZrUW;Positivo;;6/22/2021;LMNeuquén;NO;Reclasificar;
1364;La presencia de Alberto Fernández en el congreso de la Asoc Bancaria no fue casual. El acompañamiento al secretario general , Sergio Palazzo, sirvió para mostrar que el gobierno nacional no sólo acompaña sino que promueve la reapertura de las negociaciones paritarias.;Positivo;;6/24/2021;Nora Schvartz;NO;Reclasificar;
616;La promesa de Alberto Fernández: Si baja el precio de la carne, abrimos la exportación https://t.co/hHLtqy1Rs4;Positivo;f;6/23/2021;GustavoIbáñezPadilla;NO;Reclasificar;
728;Los tarados de JxC no entienden que con el 45.1% Alberto Fernandez ya era presidente https://t.co/swEISCtdyW;Positivo;;6/23/2021;Javier.;NO;Reclasificar;
1237;LosAndes | Reabrieron exportaciones de carne con restricciones y Alberto Fernández prometió beneficios al campo si bajan precios https://t.co/ktgugkySkt https://t.co/CaPDP9XIG6;Positivo;;6/22/2021;Portal Diario;NO;Reclasificar;
1582;Muchísimas gracias Cristina Fernandez Querida de mi corazón,Alberto Fernandez Querido y a todos/as que hicieron tanto esfuerzo por las vacunas, Mañana me vacunan con la segunda dosis, DIOS LOS BENDIGA??Muchas gracias ???????????????????;Positivo;;6/22/2021;Rosa Galano??????;NO;Reclasificar;
1236;No es justo evaluar con gran criterio el gobierno de Alberto Fernández xq si no fuera por la pandemia no tendría la bronca de los gastronómicos,el turismo, peluqueros,gimnasios,taxistas, transporte escolar,larga distancia y muchos mas. A principio de 2020 el turismo mejoró x ej;Positivo;;6/23/2021;diego;NO;Reclasificar;
1291;Página12 | Alberto Fernández anuncia la puesta en marcha de un programa de viviendas para mayores de 60 https://t.co/FLxHGqTE9t https://t.co/0MQuRnFUHo;Positivo;;6/24/2021;Portal Diario;NO;Reclasificar;
1541;"POLÍTICA??| Junto a @alferdez , el diputado nacional por Tucumán,  @cisneros_tuc , celebró el 45% de aumento salarial alcanzado por La Bancaria, defendió la gestión del gobierno nacional y ratificó su incondicional apoyo al gobernador @JuanManzurOK .
https://t.co/OiOLp1AV0R";Positivo;;6/24/2021;Actualidad Política;NO;Reclasificar;
890;SERIA UN HONOR PARA TODOS LOS HUMILDES Q ALBERTO FERNANDEZ SIGA EN EL PODER X MUCHO TIEMPO,OJALA Q ASI SEA !!!https://t.co/dlauq4Tlqm;Positivo;;6/22/2021;Nora T Tello;NO;Reclasificar;
1883;Si los planetas políticos y las agendas se alinean, este viernes puede venir el presidente Alberto Fernández a Córdoba Capital, para visitar Fadea en principio.;Positivo;;6/23/2021;Bettina Marengo;NO;Reclasificar;
1352;Si no te enteraste te digo este es mi presidente Alberto Fernández!!!???????????????????? https://t.co/QkRu95JZ0j;Positivo;;6/23/2021;Anaknaupe;NO;Reclasificar;
943;Vacunas, Vacunas, Vacunas!! La salud, la vida, Gracias Alberto Fernández-Cristina Kirchner;Positivo;;6/22/2021;Javier duarte;NO;Reclasificar;
637;Y MUCHISIMAS GRACIAS PRESIDENTE SEÑOR ALBERTO FERNÁNDEZ!!!;Positivo;;6/23/2021;Cristian;NO;Reclasificar;
1845;Ya no es mas pfizer, ni veneno,  ni vacunatorio vip, ahora es #NoHaySegundaDosis , la cuestion es no hacer nada mas q romperle las pelotas a los que sí hacen, Alberto Fernández y  Carla Vizzotti, el resto la chupan o alardean como kicilof.;Positivo;;6/24/2021;Capo The Bull;NO;Reclasificar;
922;"???? Muy bien  Sr. Presidente  Alberto Fernández ?????????????????????????

https://t.co/SGf0x40hB8";Positivo;;6/23/2021;DFBarrios;NO;Reclasificar;
688;"???No olvidemos desde donde partimos. Los responsables tienen nombre y apellido, pero ahora están en los canales de televisión dando cátedra de lo que ellos no supieron hacer en su momento ???? Alberto Fernández
??Y esta vez parece que me leyó el pensamiento, muy cierto.";Positivo;;6/23/2021;Max California's Lover;NO;Reclasificar;
1315;?? #QuiénDijoQueEsTarde | ????? Tuvimos una reunión muy amena con Kulfas y Alberto Fernández, @Iannizzotto_C a @anovasok ?? https://t.co/ir13n1z8sN https://t.co/OwQvTJvDvs;Positivo;;6/22/2021;Radio 10 - AM 710;NO;Reclasificar;
1190;"??Alberto Fernández anuncia un programa de viviendas para mayores de 60 años

En la primera etapa está previsto que se construyan en todo el país 100 complejos de 32 viviendas cada uno. Los detalles.

https://t.co/bhqYYp8Bn2 https://t.co/PpSLkeNPkk";Positivo;;6/24/2021;Diputados Bonaerenses;NO;Reclasificar;
1539;"?? Alberto Fernández: Argentina se encuentra entre los primeros 20 países que más vacunas ha suministrado

Más en nuestro panorama de la tarde: https://t.co/6P0fbvuMmU https://t.co/TU7AqhJtud";Positivo;;6/23/2021;Ejes de Comunicación;NO;Reclasificar;
1183;"?? #MenúEjecutivo
En la alianza sectorial, para el Presidente la industria es una carta ganadora para mostrar mejoras en el nivel de actividad, apuntalar el consumo y el empleo
por @alegalloinfo 
https://t.co/9GApJMrcGe";Positivo;;6/24/2021;BAE Negocios;NO;Reclasificar;
1893;"??#Jujuy | Para nosotros es importante que tanto Alberto Fernández como Cristina Kirchner sean parte de este proceso, aseguró el candidato a Diputado de Unidad para la Victoria, Diego Palmieri.

??Leelo acá:

https://t.co/AevW4opfWV";Positivo;;6/24/2021;FM La Patriada;NO;Reclasificar;
1227;"?? | #AlbertoWilliams en #RadioPaís

 ?? El presidente Alberto Fernández anunciará un Plan Ganadero y un nuevo esquema para la exportación de carne vacuna, con el objetivo de aumentar la producción a unos 5 millones de toneladas anuales y asegurar el suministro a nivel doméstico";Positivo;;6/22/2021;Radio País;NO;Reclasificar;
